Name	Fraction	Experiment	PTM
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2A07		P2A07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2A08		P2A08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2A09		P2A09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2A10		P2A10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2A11		P2A11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2A12		P2A12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2B07		P2B07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2B08		P2B08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2B09		P2B09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2B10		P2B10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2B11		P2B11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2B12		P2B12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2C07		P2C07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2C08		P2C08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2C09		P2C09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2C10		P2C10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2C11		P2C11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2C12		P2C12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2D07		P2D07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2D08		P2D08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2D09		P2D09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2D10		P2D10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2D11		P2D11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2D12		P2D12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2E07		P2E07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2E08		P2E08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2E09		P2E09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2E10		P2E10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2E11		P2E11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2E12		P2E12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2F07		P2F07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2F08		P2F08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2F09		P2F09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2F10		P2F10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2F11		P2F11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2F12		P2F12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2G07		P2G07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2G08		P2G08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2G09		P2G09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2G10		P2G10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2G11		P2G11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2G12		P2G12	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2H07		P2H07	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2H08		P2H08	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2H09		P2H09	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2H10		P2H10	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2H11		P2H11	
Leyun_20200817_2ul_RapidAIM_Pretest_II_P2H12		P2H12	
